Date,Close,High,Low,Open,Volume,MA7,MA21,Volatility
2025-12-26T00:00:00.000000,87301.4296875,89459.4296875,86628.140625,87235.5078125,42455674908,87859.69977678571,88822.75372023809,602.0555929384631
2025-12-27T00:00:00.000000,87802.15625,87874.78125,87182.9765625,87301.4296875,13741199310,87782.29352678571,88752.74330357143,562.9754406169351
2025-12-28T00:00:00.000000,87835.8359375,87986.890625,87394.953125,87799.34375,15156557929,87670.02008928571,88630.37165178571,430.4242919055282
2025-12-29T00:00:00.000000,87138.140625,90299.15625,86717.9140625,87835.7890625,48411625849,87476.89508928571,88463.60677083333,277.1920672676665
2025-12-30T00:00:00.000000,88430.1328125,89297.9375,86735.546875,87134.3515625,35586356225,87622.05691964286,88260.67447916667,450.59503597849954
2025-12-31T00:00:00.000000,87508.828125,89080.2890625,87130.5625,88429.5859375,33830210616,87607.32366071429,88045.81175595238,452.6615121222923
2026-01-01T00:00:00.000000,88731.984375,88803.2265625,87399.40625,87508.046875,18849043990,87821.21540178571,87865.84263392857,582.4104648107179
2026-01-02T00:00:00.000000,89944.6953125,90884.4609375,88298.6171875,88733.0625,46398906171,88198.82477678571,87850.33221726191,937.7348202754923
2026-01-03T00:00:00.000000,90603.1875,90679.5703125,89328.0703125,89945.0546875,20774828592,88598.97209821429,87864.83110119047,1276.640682393807
2026-01-04T00:00:00.000000,91413.4921875,91712.5859375,90595.1015625,90603.0,26770491368,89110.06584821429,88019.03645833333,1596.3237649798855
2026-01-05T00:00:00.000000,94337.5390625,94458.828125,91498.046875,91498.046875,48515452928,90138.55133928571,88396.07254464286,2284.841630491138
